start_station_name	num
"Belgrove Street , King's Cross"	234458
"Hyde Park Corner, Hyde Park"	215629
"Waterloo Station 3, Waterloo"	201630
"Black Lion Gate, Kensington Gardens"	161952
"Albert Gate, Hyde Park"	155647
"Waterloo Station 1, Waterloo"	145910
"Wormwood Street, Liverpool Street"	119447
"Hop Exchange, The Borough"	115135
"Wellington Arch, Hyde Park"	110260
"Triangle Car Park, Hyde Park"	108347
"Finsbury Circus, Liverpool Street"	105810
"Brushfield Street, Liverpool Street"	103114
"Bethnal Green Road, Shoreditch"	100005
"Regent's Row , Haggerston"	99706
"Craven Street, Strand"	96609
"Duke Street Hill, London Bridge"	96557
"Palace Gate, Kensington Gardens"	91917
"Old Street Station, St. Luke's"	89112
"Queen Street 1, Bank"	87321
"Newgate Street , St. Paul's"	86980
"Speakers' Corner 1, Hyde Park"	85835
"Cheapside, Bank"	85285
"Shoreditch High Street, Shoreditch"	84286
"Crosswall, Tower"	81622
"Waterloo Station 2, Waterloo"	80840
"Soho Square , Soho"	79684
"Whitehall Place, Strand"	76669
"Exhibition Road, Knightsbridge"	76581
"Storey's Gate, Westminster"	75946
